MAE,RMSE,WAPE,sMAPE,dataset,fold,model,WAPE_CI_low,WAPE_CI_high,flows,rows,step_minutes,lookback_steps,horizon_steps,train_windows,val_windows,test_windows,constant_flows,ensemble_weights,train_summary
4329.740234375,10557.33203125,15.374340057373047,29.27914810180664,Abilene,2,PatchTST-Small,14.897199106525864,15.864352321082233,144,2880,5,72,12,23184,3456,3456,0,{},"{""best_val_huber"": 0.18981344997882843, ""epochs_run"": 2.0, ""final_train_huber"": 0.1903092310171937}"
4246.92041015625,10704.14453125,15.0802583694458,28.45315933227539,Abilene,2,N-BEATS-Small,14.58163506523077,15.629404397955396,144,2880,5,72,12,23184,3456,3456,0,{},"{""best_val_huber"": 0.17552785575389862, ""epochs_run"": 2.0, ""final_train_huber"": 0.16623803363371256}"
4461.73291015625,10919.2802734375,15.843029022216797,29.635608673095703,Abilene,2,TimesNet-Small,15.35622448658169,16.300201865855048,144,2880,5,72,12,23184,3456,3456,0,{},"{""best_val_huber"": 0.20458132028579712, ""epochs_run"": 2.0, ""final_train_huber"": 0.19995294729333815}"
4311.72021484375,10823.4345703125,15.310354232788086,28.87568473815918,Abilene,2,N-HiTS-Small,14.878728425005013,15.775609991881973,144,2880,5,72,12,23184,3456,3456,0,{},"{""best_val_huber"": 0.1765410304069519, ""epochs_run"": 2.0, ""final_train_huber"": 0.17083343337987356}"
4401.88916015625,10755.5048828125,15.630533218383789,28.95176124572754,Abilene,2,All-flow WRTCN,15.163551007298976,16.05875277711349,144,2880,5,72,12,23184,3456,3456,0,{},"{""best_val_huber"": 0.1799597293138504, ""epochs_run"": 2.0, ""final_train_huber"": 0.17032332330674776}"
4541.46923828125,11056.3291015625,16.126161575317383,31.476062774658203,Abilene,2,GraphAttention-Small,15.687303650645504,16.648670423890756,144,2880,5,72,12,23184,3456,3456,0,{},"{""best_val_huber"": 0.21222460269927979, ""epochs_run"": 2.0, ""final_train_huber"": 0.20899758807250432}"
4128.060546875,10397.5166015625,14.658202171325684,28.172510147094727,Abilene,2,SCALE-TM neural ensemble,14.16872213531961,15.125312456650521,144,2880,5,72,12,23184,3456,3456,0,"{""Damped persistence"": 0.10000000149011612, ""N-BEATS-Small"": 0.30000001192092896, ""N-HiTS-Small"": 0.30000001192092896, ""NLinear"": 0.30000001192092896}",{}
4128.060546875,10397.5166015625,14.658202171325684,28.172510147094727,Abilene,2,SCALE-TM no-WRTCN ensemble,14.241656605078832,15.06522560160535,144,2880,5,72,12,23184,3456,3456,0,"{""Damped persistence"": 0.10000000149011612, ""N-BEATS-Small"": 0.30000001192092896, ""N-HiTS-Small"": 0.30000001192092896, ""NLinear"": 0.30000001192092896}",{}
4142.72509765625,10366.1982421875,14.710272789001465,28.121212005615234,Abilene,2,Uniform candidate ensemble,14.299550481384875,15.180626509455719,144,2880,5,72,12,23184,3456,3456,0,"{""All-flow WRTCN"": 0.1, ""DLinear"": 0.1, ""Damped persistence"": 0.1, ""GraphAttention-Small"": 0.1, ""N-BEATS-Small"": 0.1, ""N-HiTS-Small"": 0.1, ""NLinear"": 0.1, ""PatchLinear"": 0.1, ""PatchTST-Small"": 0.1, ""TimesNet-Small"": 0.1}",{}
4287.12939453125,9072.1337890625,14.906282424926758,28.752094268798828,Abilene,3,NLinear,14.546648353801034,15.467298908908317,144,2880,5,72,12,26784,3456,3456,0,{},{}
4271.4853515625,9017.34765625,14.851887702941895,28.69146156311035,Abilene,3,DLinear,14.470434131893626,15.32823990613605,144,2880,5,72,12,26784,3456,3456,0,{},{}
4363.9482421875,9249.2353515625,15.173379898071289,28.79990005493164,Abilene,3,PatchLinear,14.751096596138304,15.618252248850922,144,2880,5,72,12,26784,3456,3456,0,{},{}
4713.47900390625,11462.3701171875,16.38869285583496,29.225635528564453,Abilene,3,Damped persistence,15.953884052814878,16.83608405804021,144,2880,5,72,12,26784,3456,3456,0,{},{}
