dataset,fold,candidate,baseline,baseline_model,candidate_wape,baseline_wape,wape_point_improvement,wape_point_CI_low,wape_point_CI_high,relative_improvement_percent
GEANT,1,SCALE-TM neural ensemble,SCALE-TM no-WRTCN ensemble,SCALE-TM no-WRTCN ensemble,197.96188354492188,183.14016723632812,-14.821738360590109,-56.18435483608236,2.532072814979957,-8.0931117319904
GEANT,1,SCALE-TM neural ensemble,Uniform candidate ensemble,Uniform candidate ensemble,197.96188354492188,154.03106689453125,-43.930839424704885,-161.39984527328846,9.943012504502903,-28.520765525038776
GEANT,2,SCALE-TM neural ensemble,Best single non-ensemble,Damped persistence,19.3430118560791,18.328088760375977,-1.0149229349168571,-1.5314242362643082,-0.5284162378179582,-5.5375273886224745
GEANT,2,SCALE-TM neural ensemble,Persistence,Persistence,19.3430118560791,18.99575424194336,-0.34725543724919344,-1.122841715091364,0.736322517495088,-1.8280686980169496
GEANT,2,SCALE-TM neural ensemble,N-BEATS-Small,N-BEATS-Small,19.3430118560791,19.235382080078125,-0.10762923943384974,-0.1608091168640069,-0.043420393202822524,-0.5595378297440744
GEANT,2,SCALE-TM neural ensemble,N-HiTS-Small,N-HiTS-Small,19.3430118560791,19.959299087524414,0.616287761851643,0.5185545616229454,0.7269573898920091,3.0877224653487683
GEANT,2,SCALE-TM neural ensemble,All-flow WRTCN,All-flow WRTCN,19.3430118560791,18.444591522216797,-0.8984191215597678,-1.229351717812367,-0.5886114737049476,-4.870908203511084
GEANT,2,SCALE-TM neural ensemble,SCALE-TM no-WRTCN ensemble,SCALE-TM no-WRTCN ensemble,19.3430118560791,19.3430118560791,0.0,0.0,0.0,0.0
GEANT,2,SCALE-TM neural ensemble,Uniform candidate ensemble,Uniform candidate ensemble,19.3430118560791,20.048236846923828,0.7052244443458641,0.29923092452093975,1.0052897741743378,3.5176382328806763
GEANT,3,SCALE-TM neural ensemble,Best single non-ensemble,Damped persistence,14.68994426727295,14.482455253601074,-0.2074877815764974,-0.31040928124833517,-0.1070534401716469,-1.4326837400371417
GEANT,3,SCALE-TM neural ensemble,Persistence,Persistence,14.68994426727295,14.589838981628418,-0.10010500145824643,-0.3094809197899544,0.10888135480248562,-0.6861282128219444
GEANT,3,SCALE-TM neural ensemble,N-BEATS-Small,N-BEATS-Small,14.68994426727295,17.13104820251465,2.4411035982844473,1.9887851785047348,2.8776059902147235,14.249586887077466
GEANT,3,SCALE-TM neural ensemble,N-HiTS-Small,N-HiTS-Small,14.68994426727295,16.90553092956543,2.2155861766769194,1.8695811978939119,2.598989716002806,13.105688226580133
GEANT,3,SCALE-TM neural ensemble,All-flow WRTCN,All-flow WRTCN,14.68994426727295,21.79519271850586,7.105249569298465,6.5536675365676444,7.608071888796408,32.600076819993156
GEANT,3,SCALE-TM neural ensemble,SCALE-TM no-WRTCN ensemble,SCALE-TM no-WRTCN ensemble,14.68994426727295,14.358641624450684,-0.33130388795176546,-0.3922262880472969,-0.2671136463529028,-2.3073484011718977
GEANT,3,SCALE-TM neural ensemble,Uniform candidate ensemble,Uniform candidate ensemble,14.68994426727295,18.757356643676758,4.067412065263969,3.695775102373177,4.467453217457387,21.684356396961316
